ID,Country,Area,Individual wind farm ID,Lat,Long,Spp level,Order or class,Common name,Genus,Species,All species studied?,Duration (years),Total period (d),Metrics,Value,Quality,Correction factor used?,Estimation of value,Buffer area m2,Main habitat,Habitat detail,N wind farms,N turbines,Per turbine output (MW)
128,USA,"Northeast Shasta County on Hatchet Mountain, California",Hatchet Ridge Wind Farm,40.875836,-121.741233,1,aves,Ruby-crowned Kinglet,Regulus ,calendula,Y,1,365,Annual mortality per turbine,0.02,Medium,Y,Y,16129,Forest,Mountain ridge - forest - area managed for commercial timber production primarily consisting of ponderosa pine and white fir.,1,44,2.3
128,USA,"Northeast Shasta County on Hatchet Mountain, California",Hatchet Ridge Wind Farm,40.875836,-121.741233,1,aves,Red-breasted Nuthatch,Sitta ,canadensis,Y,1,365,Annual mortality per turbine,0.02,Medium,Y,Y,16129,Forest,Mountain ridge - forest - area managed for commercial timber production primarily consisting of ponderosa pine and white fir.,1,44,2.3
128,USA,"Northeast Shasta County on Hatchet Mountain, California",Hatchet Ridge Wind Farm,40.875836,-121.741233,1,aves,Lincoln's Sparrow,Melospiza,lincolnii,Y,1,365,Annual mortality per turbine,0.02,Medium,Y,Y,16129,Forest,Mountain ridge - forest - area managed for commercial timber production primarily consisting of ponderosa pine and white fir.,1,44,2.3
128,USA,"Northeast Shasta County on Hatchet Mountain, California",Hatchet Ridge Wind Farm,40.875836,-121.741233,1,aves,Evening Grosbeak,Coccothraustes,vespertinus,Y,1,365,Annual mortality per turbine,0.02,Medium,Y,Y,16129,Forest,Mountain ridge - forest - area managed for commercial timber production primarily consisting of ponderosa pine and white fir.,1,44,2.3
128,USA,"Northeast Shasta County on Hatchet Mountain, California",Hatchet Ridge Wind Farm,40.875836,-121.741233,1,aves,European Starling,Sturnus,vulgaris,Y,1,365,Annual mortality per turbine,0.02,Medium,Y,Y,16129,Forest,Mountain ridge - forest - area managed for commercial timber production primarily consisting of ponderosa pine and white fir.,1,44,2.3
128,USA,"Northeast Shasta County on Hatchet Mountain, California",Hatchet Ridge Wind Farm,40.875836,-121.741233,1,aves,Cliff Swallow,Petrochelidon ,pyrrhonota,Y,1,365,Annual mortality per turbine,0.02,Medium,Y,Y,16129,Forest,Mountain ridge - forest - area managed for commercial timber production primarily consisting of ponderosa pine and white fir.,1,44,2.3
128,USA,"Northeast Shasta County on Hatchet Mountain, California",Hatchet Ridge Wind Farm,40.875836,-121.741233,1,aves,Bushtit,Psaltriparus,minimus,Y,1,365,Annual mortality per turbine,0.02,Medium,Y,Y,16129,Forest,Mountain ridge - forest - area managed for commercial timber production primarily consisting of ponderosa pine and white fir.,1,44,2.3
128,USA,"Northeast Shasta County on Hatchet Mountain, California",Hatchet Ridge Wind Farm,40.875836,-121.741233,1,aves,American Robin,Turdus ,migratorius,Y,1,365,Annual mortality per turbine,0.02,Medium,Y,Y,16129,Forest,Mountain ridge - forest - area managed for commercial timber production primarily consisting of ponderosa pine and white fir.,1,44,2.3
128,USA,"Northeast Shasta County on Hatchet Mountain, California",Hatchet Ridge Wind Farm,40.875836,-121.741233,2,aves,UnID'd waterfowl,,,Y,1,365,Annual mortality per turbine,0.444444444,Medium,Y,Y,16129,Forest,Mountain ridge - forest - area managed for commercial timber production primarily consisting of ponderosa pine and white fir.,1,44,2.3
128,USA,"Northeast Shasta County on Hatchet Mountain, California",Hatchet Ridge Wind Farm,40.875836,-121.741233,1,aves,Snow Bunting,Plectrophenax ,nivalis,Y,1,365,Annual mortality per turbine,0.18,Medium,Y,Y,16129,Forest,Mountain ridge - forest - area managed for commercial timber production primarily consisting of ponderosa pine and white fir.,1,44,2.3
128,USA,"Northeast Shasta County on Hatchet Mountain, California",Hatchet Ridge Wind Farm,40.875836,-121.741233,1,aves,Northern Shoveler,Spatula,clypeata,Y,1,365,Annual mortality per turbine,0.177777778,Medium,Y,Y,16129,Forest,Mountain ridge - forest - area managed for commercial timber production primarily consisting of ponderosa pine and white fir.,1,44,2.3
